,Name,Year,Age,Team,League,Position,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
13,Ryan Dunn,2025,22,PHO,NBA,SF,67,37,18.1,2.6,6.0,.435,1.0,3.3,.317,1.6,2.7,.576,.521,0.2,0.5,.429,1.0,2.3,3.3,0.7,0.5,0.6,0.5,2.1,6.5,None,22,PHO,NBA,SF,67,37,1213,10.4,.520,.542,.087,6.7,13.5,10.2,5.8,1.4,3.0,7.3,16.4,0.2,0.7,0.9,.034,-3.0,-1.1,-4.0,-0.6,None
14,Amen Thompson,2025,22,HOU,NBA,SF,64,37,32.4,5.6,10.1,.553,0.3,1.3,.265,5.2,8.8,.596,.571,2.5,3.7,.681,2.8,5.5,8.4,3.7,1.4,1.3,2.0,2.4,14.0,None,22,HOU,NBA,SF,64,37,2071,18.5,.599,.129,.364,9.1,18.6,13.7,16.3,2.1,3.5,14.8,17.4,3.6,3.8,7.4,.171,1.2,2.5,3.7,3.0,None
15,Trayce Jackson-Davis,2025,24,GSW,NBA,C,57,37,16.5,2.9,5.2,.571,0.0,0.0,.000,2.9,5.1,.575,.571,0.9,1.7,.568,2.1,3.2,5.2,1.8,0.4,0.7,0.7,1.2,6.8,None,24,GSW,NBA,C,57,37,940,18.3,.581,.007,.323,13.0,21.4,17.0,16.2,1.1,3.8,11.1,16.9,1.8,1.4,3.2,.163,0.2,1.0,1.2,0.8,None
16,Dalton Knecht,2025,23,LAL,NBA,SF,71,15,19.8,3.4,7.3,.460,1.7,4.5,.371,1.7,2.8,.603,.574,0.8,1.1,.750,0.5,2.4,2.9,0.9,0.3,0.1,0.5,1.3,9.2,None,23,LAL,NBA,SF,71,15,1407,12.5,.592,.615,.155,2.7,13.2,8.1,6.9,0.8,0.4,5.8,18.3,1.6,0.9,2.5,.085,-0.4,-1.6,-2.0,0.0,None
17,Stephon Castle,2025,20,SAS,NBA,PG,73,39,26.0,5.1,12.0,.425,1.2,4.1,.284,3.9,7.9,.497,.473,2.9,4.0,.714,1.0,2.3,3.3,3.7,0.9,0.2,2.1,2.0,14.2,None,20,SAS,NBA,PG,73,39,1895,13.1,.517,.341,.336,4.2,9.5,6.8,21.3,1.8,0.9,13.0,26.0,-0.2,0.9,0.6,.016,-1.9,-1.8,-3.7,-0.8,None
18,Keyonte George,2025,21,UTA,NBA,PG,60,32,31.2,5.3,13.5,.393,2.6,7.4,.344,2.7,6.0,.453,.488,3.5,4.3,.808,0.4,3.3,3.7,5.8,0.7,0.2,2.7,1.7,16.6,None,21,UTA,NBA,PG,60,32,1870,13.2,.541,.551,.322,1.4,11.4,6.5,27.9,1.1,0.5,15.0,24.2,1.1,0.3,1.4,.035,0.1,-2.2,-2.1,-0.1,None
19,Jaylen Wells,2025,21,MEM,NBA,SG,74,69,25.8,3.7,8.7,.425,1.8,5.0,.357,1.9,3.7,.518,.528,1.4,1.7,.827,1.1,2.2,3.3,1.7,0.6,0.1,0.9,1.9,10.6,None,21,MEM,NBA,SG,74,69,1912,10.5,.561,.575,.197,4.5,9.1,6.8,8.3,1.0,0.4,8.7,16.1,2.0,1.3,3.2,.082,-1.2,-1.2,-2.4,-0.2,None
20,Zach Edey,2025,22,MEM,NBA,C,59,48,20.7,3.8,6.7,.575,0.3,0.8,.383,3.5,5.9,.601,.597,1.3,1.8,.722,3.5,4.1,7.7,0.9,0.5,1.3,1.3,2.7,9.3,None,22,MEM,NBA,C,59,48,1220,18.6,.621,.119,.273,18.3,21.0,19.7,6.1,1.2,5.5,14.3,17.0,2.5,1.8,4.3,.168,0.0,-0.2,-0.2,0.6,None
21,Ryan Dunn,2025,22,PHO,NBA,SF,67,37,18.1,2.6,6.0,.435,1.0,3.3,.317,1.6,2.7,.576,.521,0.2,0.5,.429,1.0,2.3,3.3,0.7,0.5,0.6,0.5,2.1,6.5,None,22,PHO,NBA,SF,67,37,1213,10.4,.520,.542,.087,6.7,13.5,10.2,5.8,1.4,3.0,7.3,16.4,0.2,0.7,0.9,.034,-3.0,-1.1,-4.0,-0.6,None
22,Amen Thompson,2025,22,HOU,NBA,SF,64,37,32.4,5.6,10.1,.553,0.3,1.3,.265,5.2,8.8,.596,.571,2.5,3.7,.681,2.8,5.5,8.4,3.7,1.4,1.3,2.0,2.4,14.0,None,22,HOU,NBA,SF,64,37,2071,18.5,.599,.129,.364,9.1,18.6,13.7,16.3,2.1,3.5,14.8,17.4,3.6,3.8,7.4,.171,1.2,2.5,3.7,3.0,None
